Date,opinion_neg,opinion_neu,opinion_pos,opinion_compound,news_neg,news_neu,news_pos,news_compound
2019-02-05,0.07666666666666667,0.7674444444444446,0.15588888888888888,0.5984222222222222,0.07447058823529411,0.7773529411764705,0.1481764705882353,0.6334529411764707
2019-02-07,0.05457142857142857,0.7547142857142858,0.1907142857142857,0.9841714285714286,0.052000000000000005,0.754375,0.19375,0.983775
2019-02-08,0.0955,0.7495,0.155,0.08199999999999996,0.09175,0.73125,0.177,0.502775
2019-02-10,0.093,0.6815,0.225,0.9639,0.093,0.6815,0.225,0.9639
2019-02-12,0.07366666666666667,0.7680000000000001,0.15866666666666665,0.9800666666666666,0.05277777777777778,0.8257777777777778,0.12144444444444444,0.4917
2019-02-13,0.074,0.764,0.1618,0.9745799999999999,0.057800000000000004,0.8112,0.131,0.7960499999999999
2019-02-14,0.11299999999999999,0.7278,0.159,0.5813200000000001,0.07569999999999999,0.7897,0.1345,0.7178199999999999
2019-02-15,0.056333333333333326,0.8236666666666667,0.12,0.7372,0.0595,0.7973333333333333,0.14316666666666666,0.8476333333333335
2019-02-19,0.06675,0.7769999999999999,0.1555,0.9884250000000001,0.05833333333333333,0.7781666666666668,0.163,0.9909500000000001
2019-02-20,0.06924999999999999,0.7340000000000001,0.19675,0.98225,0.054625,0.7757499999999999,0.16975,0.9718499999999999
2019-02-21,0.09233333333333334,0.7566666666666667,0.151,0.9101333333333333,0.06383333333333334,0.8126666666666665,0.12350000000000001,0.7779333333333334
2019-02-22,0.028,0.756,0.216,0.9965,0.036333333333333336,0.7856666666666667,0.17766666666666667,0.9881666666666667
2019-02-25,0.051250000000000004,0.76525,0.1835,0.9924999999999999,0.05663636363636364,0.796,0.14754545454545454,0.8693727272727273
2019-02-26,0.067,0.8185,0.115,0.9144,0.09133333333333334,0.7963333333333334,0.11266666666666668,0.38610000000000005
2019-02-27,0.08449999999999999,0.752,0.164,0.52535,0.06566666666666666,0.7896666666666667,0.14500000000000002,0.4519166666666667
2019-02-28,0.03675,0.75125,0.21200000000000002,0.9963,0.03675,0.75125,0.21200000000000002,0.9963
2019-03-01,0.059,0.7976666666666667,0.1436666666666667,0.9841000000000001,0.06425,0.79175,0.14400000000000002,0.98465
2019-03-04,0.043666666666666666,0.7706666666666666,0.18566666666666665,0.9946333333333333,0.035250000000000004,0.7829999999999999,0.18175000000000002,0.9874999999999999
2019-03-05,0.0695,0.7529999999999999,0.1775,0.9946999999999999,0.09040000000000001,0.7608,0.1488,0.51186
